Ticker,2025-01-10,2025-01-31,2025-03-31
VOLTAS,1766.4751196733985,1766.620865708086,1766.6208808178246
CASTROLIND,189.31081466139204,189.31243059307252,189.31241260258332
TVSMOTOR,2341.565530955303,2341.4279938836144,2341.428003639138
PETRONET,344.4022756016137,344.4037376025509,344.40373762669896
HONAUT,41434.18212852057,41434.12293630174,41434.122921570735
APOLLOTYRE,535.9665892251548,535.9491758778374,535.9491698122889
IIFLSEC,413.22349334821223,413.226788199635,413.22678870666897
SHYAMMETL,716.3155585401353,716.2808294192901,716.2808327203625
INDIANHUME,350.08588622940033,350.0214925420084,350.0214182557524
NCC,271.816753318827,271.78502342573995,271.78500318466473
